y_exp,y_pred,order
8.405497550964355469e+00,8.196134567260742188e+00,4.000000000000000000e+00
-1.010865879058837891e+01,-9.973196029663085938e+00,4.000000000000000000e+00
1.144272804260253906e+01,1.108442306518554688e+01,4.000000000000000000e+00
1.808760166168212891e+00,1.647960662841796875e+00,4.000000000000000000e+00
6.870171070098876953e+00,7.054729461669921875e+00,4.000000000000000000e+00
1.003834629058837891e+01,9.914630889892578125e+00,4.000000000000000000e+00
-1.839866280555725098e+00,-1.926038146018981934e+00,3.000000000000000000e+00
-3.346198081970214844e+00,-3.374647855758666992e+00,3.000000000000000000e+00
3.501999616622924805e+00,3.480120897293090820e+00,3.000000000000000000e+00
1.345758152008056641e+01,1.331354618072509766e+01,4.000000000000000000e+00
5.604301452636718750e+00,5.532876014709472656e+00,4.000000000000000000e+00
2.672703742980957031e+00,2.925824165344238281e+00,3.000000000000000000e+00
-1.396296596527099609e+01,-1.419383335113525391e+01,3.000000000000000000e+00
-9.687619209289550781e-01,-1.127115488052368164e+00,4.000000000000000000e+00
-4.413256168365478516e+00,-4.084852218627929688e+00,3.000000000000000000e+00
4.646569252014160156e+00,4.561121940612792969e+00,3.000000000000000000e+00
-1.120707130432128906e+01,-1.113681983947753906e+01,4.000000000000000000e+00
-1.441583538055419922e+01,-1.401582813262939453e+01,4.000000000000000000e+00
2.972495794296264648e+00,2.937674045562744141e+00,4.000000000000000000e+00
1.492007613182067871e+00,1.894348978996276855e+00,4.000000000000000000e+00
-9.896972656250000000e+00,-1.027442359924316406e+01,3.000000000000000000e+00
2.452075242996215820e+00,2.355680704116821289e+00,4.000000000000000000e+00
-1.146728610992431641e+01,-1.157607555389404297e+01,4.000000000000000000e+00
3.895679473876953125e+00,4.010438919067382812e+00,3.000000000000000000e+00
1.094901371002197266e+01,1.113013172149658203e+01,4.000000000000000000e+00
-2.544307708740234375e+00,-2.239082574844360352e+00,3.000000000000000000e+00
5.538250803947448730e-01,5.291940569877624512e-01,3.000000000000000000e+00
-1.053512001037597656e+01,-1.059260272979736328e+01,4.000000000000000000e+00
-9.737181663513183594e+00,-9.821865081787109375e+00,3.000000000000000000e+00
1.265303230285644531e+01,1.200415706634521484e+01,4.000000000000000000e+00
-1.680009269714355469e+01,-1.623248481750488281e+01,3.000000000000000000e+00
1.196144294738769531e+01,1.186483573913574219e+01,4.000000000000000000e+00
-1.661593055725097656e+01,-1.663562202453613281e+01,4.000000000000000000e+00
-8.021348953247070312e+00,-7.560382843017578125e+00,4.000000000000000000e+00
-1.767095947265625000e+01,-1.796083641052246094e+01,3.000000000000000000e+00
-1.123435592651367188e+01,-1.121141147613525391e+01,4.000000000000000000e+00
-2.883253335952758789e+00,-2.582171201705932617e+00,3.000000000000000000e+00
-1.132395267486572266e+01,-1.137998580932617188e+01,4.000000000000000000e+00
1.034148788452148438e+01,1.063225173950195312e+01,3.000000000000000000e+00
1.095623970031738281e+00,1.407055854797363281e+00,3.000000000000000000e+00
2.607931137084960938e+00,2.836515426635742188e+00,3.000000000000000000e+00
-8.825804710388183594e+00,-9.454338073730468750e+00,4.000000000000000000e+00
9.224378585815429688e+00,9.092645645141601562e+00,3.000000000000000000e+00
3.485994100570678711e+00,3.715116024017333984e+00,4.000000000000000000e+00
2.371151447296142578e+00,2.462302684783935547e+00,3.000000000000000000e+00
-1.689097785949707031e+01,-1.647234725952148438e+01,4.000000000000000000e+00
1.423771858215332031e+01,1.428997898101806641e+01,4.000000000000000000e+00
1.151554298400878906e+01,1.163511371612548828e+01,3.000000000000000000e+00
-1.326937580108642578e+01,-1.318519783020019531e+01,4.000000000000000000e+00
-6.271544694900512695e-01,-5.328923463821411133e-01,3.000000000000000000e+00
1.571241140365600586e+00,1.568325281143188477e+00,4.000000000000000000e+00
1.314545989036560059e+00,3.532592654228210449e-01,4.000000000000000000e+00
-1.520390510559082031e+01,-1.516529464721679688e+01,4.000000000000000000e+00
-5.589431762695312500e+00,-5.629505634307861328e+00,4.000000000000000000e+00
-8.075431823730468750e+00,-7.646470069885253906e+00,3.000000000000000000e+00
9.189909934997558594e+00,9.233551979064941406e+00,4.000000000000000000e+00
1.819781303405761719e+01,1.823999786376953125e+01,3.000000000000000000e+00
-7.888831496238708496e-01,-1.203629612922668457e+00,3.000000000000000000e+00
-9.237004280090332031e+00,-9.192697525024414062e+00,3.000000000000000000e+00
5.196925640106201172e+00,5.151754379272460938e+00,3.000000000000000000e+00
1.409704589843750000e+01,1.433102035522460938e+01,4.000000000000000000e+00
-1.294511413574218750e+01,-1.276984500885009766e+01,4.000000000000000000e+00
-1.566150188446044922e+00,-1.683551073074340820e+00,3.000000000000000000e+00
-5.852833271026611328e+00,-6.044114112854003906e+00,3.000000000000000000e+00
1.795472621917724609e+00,1.845774888992309570e+00,3.000000000000000000e+00
4.625017940998077393e-01,6.257683038711547852e-01,3.000000000000000000e+00
1.302604198455810547e+01,1.281482982635498047e+01,3.000000000000000000e+00
-1.838212394714355469e+01,-1.815656089782714844e+01,4.000000000000000000e+00
1.615400910377502441e-01,3.225396275520324707e-01,3.000000000000000000e+00
1.887224078178405762e+00,1.770752787590026855e+00,4.000000000000000000e+00
1.099503040313720703e+01,1.095888900756835938e+01,4.000000000000000000e+00
1.843759155273437500e+01,1.882379531860351562e+01,4.000000000000000000e+00
1.738571763038635254e+00,1.415270924568176270e+00,3.000000000000000000e+00
-1.128224372863769531e+00,-8.698363900184631348e-01,4.000000000000000000e+00
-1.216124916076660156e+01,-1.199944210052490234e+01,4.000000000000000000e+00
4.532349586486816406e+00,4.437574863433837891e+00,4.000000000000000000e+00
6.367970943450927734e+00,6.490002632141113281e+00,3.000000000000000000e+00
