y_exp,y_pred,order
8.405497550964355469e+00,8.498298645019531250e+00,4.000000000000000000e+00
-1.010865879058837891e+01,-1.011317539215087891e+01,4.000000000000000000e+00
1.144272804260253906e+01,1.145838260650634766e+01,4.000000000000000000e+00
1.808760166168212891e+00,1.833647727966308594e+00,4.000000000000000000e+00
6.870171070098876953e+00,6.914079189300537109e+00,4.000000000000000000e+00
1.003834629058837891e+01,9.946545600891113281e+00,4.000000000000000000e+00
-1.839866280555725098e+00,-1.814504742622375488e+00,3.000000000000000000e+00
-3.346198081970214844e+00,-3.096760511398315430e+00,3.000000000000000000e+00
3.501999616622924805e+00,3.499016046524047852e+00,3.000000000000000000e+00
1.345758152008056641e+01,1.333943557739257812e+01,4.000000000000000000e+00
5.604301452636718750e+00,5.711065292358398438e+00,4.000000000000000000e+00
2.672703742980957031e+00,2.721268892288208008e+00,3.000000000000000000e+00
-1.396296596527099609e+01,-1.393368530273437500e+01,3.000000000000000000e+00
-9.687619209289550781e-01,-9.870189428329467773e-01,4.000000000000000000e+00
-4.413256168365478516e+00,-4.457140922546386719e+00,3.000000000000000000e+00
4.646569252014160156e+00,4.657425403594970703e+00,3.000000000000000000e+00
-1.120707130432128906e+01,-1.117233562469482422e+01,4.000000000000000000e+00
-1.441583538055419922e+01,-1.438948917388916016e+01,4.000000000000000000e+00
2.972495794296264648e+00,3.106948137283325195e+00,4.000000000000000000e+00
1.492007613182067871e+00,1.543327093124389648e+00,4.000000000000000000e+00
-9.896972656250000000e+00,-9.970389366149902344e+00,3.000000000000000000e+00
2.452075242996215820e+00,2.563589811325073242e+00,4.000000000000000000e+00
-1.146728610992431641e+01,-1.146584892272949219e+01,4.000000000000000000e+00
3.895679473876953125e+00,3.855086088180541992e+00,3.000000000000000000e+00
1.094901371002197266e+01,1.098093223571777344e+01,4.000000000000000000e+00
-2.544307708740234375e+00,-2.653475522994995117e+00,3.000000000000000000e+00
5.538250803947448730e-01,5.121096968650817871e-01,3.000000000000000000e+00
-1.053512001037597656e+01,-1.050770378112792969e+01,4.000000000000000000e+00
-9.737181663513183594e+00,-9.691066741943359375e+00,3.000000000000000000e+00
1.265303230285644531e+01,1.268175792694091797e+01,4.000000000000000000e+00
-1.680009269714355469e+01,-1.668639564514160156e+01,3.000000000000000000e+00
1.196144294738769531e+01,1.198853683471679688e+01,4.000000000000000000e+00
-1.661593055725097656e+01,-1.664044570922851562e+01,4.000000000000000000e+00
-8.021348953247070312e+00,-7.833057880401611328e+00,4.000000000000000000e+00
-1.767095947265625000e+01,-1.795453262329101562e+01,3.000000000000000000e+00
