HBA,HBD,HBA_Ratio,HBD_Ratio,Temperature_C,ln_gamma_b_sitosterol,ln_gamma_cellobiose,ln_gamma_gallic_acid,ln_gamma_glucose,ln_gamma_lignin,ln_gamma_lupeol,ln_gamma_oxalic_acid,ln_gamma_palmitic_acid,ln_gamma_phytol,ln_gamma_quercetin,ln_gamma_squalene,ln_gamma_sucrose,C_inf_b_sitosterol,C_inf_cellobiose,C_inf_gallic_acid,C_inf_glucose,C_inf_lignin,C_inf_lupeol,C_inf_oxalic_acid,C_inf_palmitic_acid,C_inf_phytol,C_inf_quercetin,C_inf_squalene,C_inf_sucrose,S_inf_b_sitosterol_vs_quercetin,S_inf_cellobiose_vs_quercetin,S_inf_gallic_acid_vs_quercetin,S_inf_glucose_vs_quercetin,S_inf_lignin_vs_quercetin,S_inf_lupeol_vs_quercetin,S_inf_oxalic_acid_vs_quercetin,S_inf_palmitic_acid_vs_quercetin,S_inf_phytol_vs_quercetin,S_inf_squalene_vs_quercetin,S_inf_sucrose_vs_quercetin
hexane,None,1,0,0,3.19708419087091,34.7574607265572,15.8773847304645,21.9304487140168,15.8015812815777,2.99049915632007,14.7657080269405,4.71013906865754,3.35078274465711,23.9015404195598,-0.783913533597864,34.8962495205947,,,,,,,,,,,,,,,,,,,,,,,
hexane,None,1,0,5,3.06468547884603,33.4927337410998,15.3467610670793,21.1122548492382,15.4084573392945,2.88391946281224,14.5224773860683,4.47638777220164,3.20386919914405,23.1791129662436,-0.799215001286188,33.6195815245869,,,,,,,,,,,,,,,,,,,,,,,
hexane,None,1,0,10,2.93226929219007,32.2766458640535,14.8197708748662,20.3306966780027,15.0220212455344,2.78167245167758,14.2538032030434,4.24934050655621,3.05618973391748,22.4524825257134,-0.813768109229353,32.3905160458313,,,,,,,,,,,,,,,,,,,,,,,
hexane,None,1,0,15,2.80014248269622,31.1087287776638,14.3004405012774,19.5845798190728,14.6432307732958,2.68367425411652,13.9620978193253,4.02997116362098,2.90797327548901,21.7268826154779,-0.827620608557624,31.2090099577227,,,,,,,,,,,,,,,,,,,,,,,
hexane,None,1,0,20,2.66882167460557,29.9882912679131,13.7921666556424,18.8726017790602,14.2728824657936,2.58991648617536,13.6507494084463,3.81895416665707,2.75971209035613,21.0073849481171,-0.8408158406714,30.0746861286152,,,,,,,,,,,,,,,,,,,,,,,
hexane,None,1,0,25,2.53900374586663,28.9144802095718,13.2976428724214,18.1934053903704,13.9116339241477,2.50044209221712,13.3239603402083,3.61669390394897,2.6121448142457,20.2986369873564,-0.853396613886989,28.9869241716042,,,,,,,,,,,,,,,,,,,,,,,
hexane,None,1,0,30,2.41150469015164,27.886306036083,12.8188616073434,17.5456149759679,13.5600200269506,2.41532268047551,12.9864541873606,3.42337792924168,2.46619545589224,19.604682623013,-0.865395071065645,27.9449072556727,,,,,,,,,,,,,,,,,,,,,,,
hexane,None,1,0,35,2.28714795150708,26.9026320272162,12.357159004197,16.9278485679805,13.2184345961019,2.33460809485395,12.6430762907248,3.23900963589007,2.32285322094075,18.9288418143018,-0.876859542243464,26.9476278555141,,,,,,,,,,,,,,,,,,,,,,,
hexane,None,1,0,40,2.166716642169,25.96220488587,11.913316912927,16.3387481221727,12.8871757758146,2.25833977178336,12.2983807831617,3.06348474111295,2.18309783640969,18.2736881156,-0.8878055334396,25.9939297522513,,,,,,,,,,,,,,,,,,,,,,,
hexane,None,1,0,45,2.05085185948596,25.0636315269774,11.4876521687364,15.7769715458104,12.5664120145888,2.1865064699822,11.9562771414398,2.89660325448988,2.04777368699998,17.6410288423663,-0.898264296487244,25.082493310051,,,,,,,,,,,,,,,,,,,,,,,
hexane,None,1,0,50,1.93998549694455,24.2053761138591,11.0801112993866,15.2411894325462,12.256165146196,2.11901320866482,11.6198354487573,2.73807649801044,1.91750193234667,17.0319412378168,-0.908274941101702,24.2118370636472,,,,,,,,,,,,,,,,,,,,,,,
hexane,None,1,0,55,1.83440891643622,23.3858224820809,10.6903884991352,14.7301120161319,11.9563813709937,2.05575249383769,11.2912786257695,2.58760498078476,1.79272563480599,16.446905536897,-0.917857446308665,23.3803829425423,,,,,,,,,,,,,,,,,,,,,,,
hexane,None,1,0,60,1.73424021624235,22.6032760642627,10.3179887881297,14.2424769963183,11.6668997906787,1.99656461435382,10.972071967333,2.44485365683227,1.67367969792676,15.8859005336973,-0.927035739502397,22.5864609002474,,,,,,,,,,,,,,,,,,,,,,,
hexane,None,1,0,65,1.63947088021398,21.8560091105784,9.96229772313536,13.7770608717763,11.3874842633181,1.94126164448511,10.6630796624991,2.30947468470487,1.56043911707434,15.3485398738034,-0.935832097580264,21.8283565188413,,,,,,,,,,,,,,,,,,,,,,,
hexane,None,1,0,70,1.5499677872635,21.1422685770554,9.62261734464071,13.3326696932001,11.1178062675337,1.88960844596153,10.3647125966951,2.18109099110677,1.45293095562643,14.8341647440823,-0.944307097482781,21.1043219367065,,,,,,,,,,,,,,,,,,,,,,,
hexane,None,1,0,75,1.46563370586782,20.4604136899367,9.29825809992145,12.9082086011209,10.8576168829485,1.84145271129311,10.0770977774308,2.05940647226664,1.35108683121285,14.3420254881373,-0.952399950533713,20.4127128123864,,,,,,,,,,,,,,,,,,,,,,,
hexane,None,1,0,80,1.38623361405593,19.808772258217,8.98848004735122,12.5025886241958,10.6065315830946,1.79654975972291,9.80012662563754,1.94405487941936,1.25469694962382,13.8712148334837,-0.960169127371489,19.7518505108784,,,,,,,,,,,,,,,,,,,,,,,
hexane,None,1,0,85,1.31154303154762,19.1857638836202,8.69256564117729,12.1147927972647,10.3641958123863,1.75468902050786,9.5335653811321,1.83470697755512,1.16354804014383,13.4208059384186,-0.967608414990887,19.1201439753576,,,,,,,,,,,,,,,,,,,,,,,
hexane,None,1,0,90,1.24132664520466,18.5898801973381,8.40981635865348,11.7438599877868,10.1302545693297,1.71566661510436,9.27709776536165,1.73104621655151,1.07740884561499,12.9898621217335,-0.974780214153621,18.5160717213985,,,,,,,,,,,,,,,,,,,,,,,
hexane,None,1,0,95,1.17534617764038,18.0196884939145,8.13955918316481,11.3888838078306,9.90435806553231,1.67928728429013,9.03036016245272,1.63276969517204,0.996040206223969,12.5774579605778,-0.981675931769731,17.9381862653653,,,,,,,,,,,,,,,,,,,,,,,
hexane,None,1,0,100,1.11336558650507,17.4738325046973,7.88115023053836,11.0490107788536,9.68616546436916,1.64536555367625,8.79296514040057,1.53958855154449,0.919201779578009,12.1826925649077,-0.988309476901434,17.3851154793314,,,,,,,,,,,,,,,,,,,,,,,
water,None,1,0,0,30.9439715754047,0.938726020479272,-0.915576944978684,0.466129729068087,6.29539617694112,31.3526307987748,-4.28643590030215,19.5649513668976,24.4359093263065,3.02113529417156,38.9587019851289,1.07206972916303,,,,,,,,,,,,,,,,,,,,,,,
water,None,1,0,5,30.7025013997319,0.988685793130791,-0.769811821234847,0.503947060896669,6.61619571869513,31.1091420763893,-4.07610828461448,19.4234894918411,24.2423516339071,3.08711005634479,38.6020954177663,1.13573157142111,,,,,,,,,,,,,,,,,,,,,,,
water,None,1,0,10,30.459348229287,1.03206048403334,-0.633929692810163,0.537872135978386,6.90439520358716,30.8653523838845,-3.87872647784482,19.2788015611435,24.0464328771941,3.14503238104308,38.2432648873536,1.1921936528348,,,,,,,,,,,,,,,,,,,,,,,
water,None,1,0,15,30.2144316732176,1.06929852266223,-0.507261648629168,0.568163232902502,7.16224955174,30.6210587292227,-3.69334841232207,19.1309807015015,23.8481574150099,3.19543212197386,37.8820916687575,1.24192196405971,,,,,,,,,,,,,,,,,,,,,,,
water,None,1,0,20,29.9676803070278,1.10081257990203,-0.389197162769231,0.59505749944627,7.39184347127225,30.376078069027,-3.51911544968393,18.9801144899318,23.6475323514335,3.23879542110515,37.5184818773679,1.2853478768933,,,,,,,,,,,,,,,,,,,,,,,
water,None,1,0,25,29.719031909282,1.12698214806053,-0.279177919808863,0.618772673366245,7.59510573954806,30.1302466060913,-3.35524393200747,18.8262860810615,23.4445679541125,3.27556920006506,37.1523652611258,1.32287049182417,,,,,,,,,,,,,,,,,,,,,,,
water,None,1,0,30,29.4684400254491,1.14816117921731,-0.176691490051815,0.639511287656755,7.77383218050855,29.8834247937622,-3.20101652004289,18.6695805545953,23.2392837129419,3.30616813305452,36.7837015845585,1.35486384981878,,,,,,,,,,,,,,,,,,,,,,,
water,None,1,0,35,29.2158699812862,1.164676841626,-0.0812669919958799,0.657460359248237,7.92969025790173,29.635493035662,-3.05577627893663,18.5100823214813,23.031705013676,3.33097619920472,36.4124744757612,1.38167560653687,,,,,,,,,,,,,,,,,,,,,,,
water,None,1,0,40,28.9612994525495,1.1768321595834,0.00752918655990349,0.672793003501009,8.0642305750538,29.3863514769351,-2.91892068039518,18.3478763281142,22.821863888349,3.35034997702725,36.0386907497821,1.40362946549967,,,,,,,,,,,,,,,,,,,,,,,
water,None,1,0,45,28.7047257045177,1.18491359632088,0.0900983935646301,0.685672445831245,8.17890689937787,29.1359258678303,-2.78989492321298,18.1830547537039,22.6098056694393,3.36462489266813,35.6623775363823,1.4210323478242,,,,,,,,,,,,,,,,,,,,,,,
water,None,1,0,50,28.4461534193663,1.18918360146245,0.166811059615507,0.696248543763786,8.27506707258246,28.8841560592247,-2.66818953695698,18.0157074965719,22.3955784366892,3.37411177370735,35.283607744022,1.4341671853078,,,,,,,,,,,,,,,,,,,,,,,
water,None,1,0,55,28.1856066421081,1.18989164817051,0.238011753919937,0.704663437396501,8.35397837248548,28.6310062124619,-2.55333381384956,17.8459327081631,22.1792438268957,3.37910489881361,34.9024511603863,1.44330342288875,,,,,,,,,,,,,,,,,,,,,,,
