y_exp,y_pred,order
8.405497550964355469e+00,8.552585601806640625e+00,4.000000000000000000e+00
-1.010865879058837891e+01,-1.004601764678955078e+01,4.000000000000000000e+00
1.144272804260253906e+01,1.133881855010986328e+01,4.000000000000000000e+00
1.808760166168212891e+00,1.816734671592712402e+00,4.000000000000000000e+00
6.870171070098876953e+00,6.970910072326660156e+00,4.000000000000000000e+00
1.003834629058837891e+01,9.972679138183593750e+00,4.000000000000000000e+00
-1.839866280555725098e+00,-1.817455172538757324e+00,3.000000000000000000e+00
-3.346198081970214844e+00,-3.297330856323242188e+00,3.000000000000000000e+00
3.501999616622924805e+00,3.442700862884521484e+00,3.000000000000000000e+00
1.345758152008056641e+01,1.366016960144042969e+01,4.000000000000000000e+00
5.604301452636718750e+00,5.614905834197998047e+00,4.000000000000000000e+00
2.672703742980957031e+00,2.654014825820922852e+00,3.000000000000000000e+00
-1.396296596527099609e+01,-1.397671890258789062e+01,3.000000000000000000e+00
-9.687619209289550781e-01,-9.526821374893188477e-01,4.000000000000000000e+00
-4.413256168365478516e+00,-4.490334987640380859e+00,3.000000000000000000e+00
4.646569252014160156e+00,4.705960750579833984e+00,3.000000000000000000e+00
-1.120707130432128906e+01,-1.124385643005371094e+01,4.000000000000000000e+00
-1.441583538055419922e+01,-1.443925666809082031e+01,4.000000000000000000e+00
2.972495794296264648e+00,3.415423393249511719e+00,4.000000000000000000e+00
1.492007613182067871e+00,1.482479095458984375e+00,4.000000000000000000e+00
-9.896972656250000000e+00,-9.940843582153320312e+00,3.000000000000000000e+00
2.452075242996215820e+00,2.503842115402221680e+00,4.000000000000000000e+00
-1.146728610992431641e+01,-1.148269367218017578e+01,4.000000000000000000e+00
3.895679473876953125e+00,3.917147159576416016e+00,3.000000000000000000e+00
1.094901371002197266e+01,1.097924995422363281e+01,4.000000000000000000e+00
-2.544307708740234375e+00,-2.593591928482055664e+00,3.000000000000000000e+00
5.538250803947448730e-01,5.303586721420288086e-01,3.000000000000000000e+00
-1.053512001037597656e+01,-1.042670154571533203e+01,4.000000000000000000e+00
-9.737181663513183594e+00,-9.740070343017578125e+00,3.000000000000000000e+00
1.265303230285644531e+01,1.271436309814453125e+01,4.000000000000000000e+00
-1.680009269714355469e+01,-1.683635711669921875e+01,3.000000000000000000e+00
1.196144294738769531e+01,1.199476814270019531e+01,4.000000000000000000e+00
-1.661593055725097656e+01,-1.660873794555664062e+01,4.000000000000000000e+00
-8.021348953247070312e+00,-7.841239929199218750e+00,4.000000000000000000e+00
-1.767095947265625000e+01,-1.759247398376464844e+01,3.000000000000000000e+00
-1.123435592651367188e+01,-1.123800945281982422e+01,4.000000000000000000e+00
-2.883253335952758789e+00,-2.886621952056884766e+00,3.000000000000000000e+00
-1.132395267486572266e+01,-1.136641216278076172e+01,4.000000000000000000e+00
1.034148788452148438e+01,1.042647266387939453e+01,3.000000000000000000e+00
