y_exp,y_pred,order
8.405497550964355469e+00,8.420057296752929688e+00,4.000000000000000000e+00
-1.010865879058837891e+01,-1.011033916473388672e+01,4.000000000000000000e+00
1.144272804260253906e+01,1.142995262145996094e+01,4.000000000000000000e+00
1.808760166168212891e+00,1.808906078338623047e+00,4.000000000000000000e+00
6.870171070098876953e+00,6.876470088958740234e+00,4.000000000000000000e+00
1.003834629058837891e+01,9.803049087524414062e+00,4.000000000000000000e+00
-1.839866280555725098e+00,-1.817738771438598633e+00,3.000000000000000000e+00
-3.346198081970214844e+00,-3.258185863494873047e+00,3.000000000000000000e+00
3.501999616622924805e+00,3.491386175155639648e+00,3.000000000000000000e+00
1.345758152008056641e+01,1.331048965454101562e+01,4.000000000000000000e+00
5.604301452636718750e+00,5.563124656677246094e+00,4.000000000000000000e+00
2.672703742980957031e+00,2.659670114517211914e+00,3.000000000000000000e+00
-1.396296596527099609e+01,-1.399441051483154297e+01,3.000000000000000000e+00
-9.687619209289550781e-01,-9.020342230796813965e-01,4.000000000000000000e+00
-4.413256168365478516e+00,-4.339744567871093750e+00,3.000000000000000000e+00
4.646569252014160156e+00,4.685144424438476562e+00,3.000000000000000000e+00
-1.120707130432128906e+01,-1.116093921661376953e+01,4.000000000000000000e+00
-1.441583538055419922e+01,-1.450327396392822266e+01,4.000000000000000000e+00
2.972495794296264648e+00,3.547413349151611328e+00,4.000000000000000000e+00
1.492007613182067871e+00,1.441720962524414062e+00,4.000000000000000000e+00
-9.896972656250000000e+00,-9.913671493530273438e+00,3.000000000000000000e+00
2.452075242996215820e+00,2.410933971405029297e+00,4.000000000000000000e+00
-1.146728610992431641e+01,-1.146425151824951172e+01,4.000000000000000000e+00
3.895679473876953125e+00,3.875755786895751953e+00,3.000000000000000000e+00
1.094901371002197266e+01,1.092687416076660156e+01,4.000000000000000000e+00
-2.544307708740234375e+00,-2.583474874496459961e+00,3.000000000000000000e+00
5.538250803947448730e-01,5.293062925338745117e-01,3.000000000000000000e+00
-1.053512001037597656e+01,-1.054668235778808594e+01,4.000000000000000000e+00
-9.737181663513183594e+00,-9.769906997680664062e+00,3.000000000000000000e+00
1.265303230285644531e+01,1.280027866363525391e+01,4.000000000000000000e+00
-1.680009269714355469e+01,-1.673942947387695312e+01,3.000000000000000000e+00
1.196144294738769531e+01,1.194382286071777344e+01,4.000000000000000000e+00
-1.661593055725097656e+01,-1.664404296875000000e+01,4.000000000000000000e+00
-8.021348953247070312e+00,-8.163825035095214844e+00,4.000000000000000000e+00
-1.767095947265625000e+01,-1.762163925170898438e+01,3.000000000000000000e+00
-1.123435592651367188e+01,-1.127187061309814453e+01,4.000000000000000000e+00
-2.883253335952758789e+00,-2.898269176483154297e+00,3.000000000000000000e+00
-1.132395267486572266e+01,-1.130370712280273438e+01,4.000000000000000000e+00
1.034148788452148438e+01,1.046055507659912109e+01,3.000000000000000000e+00
1.095623970031738281e+00,1.131025671958923340e+00,3.000000000000000000e+00
2.607931137084960938e+00,2.620960235595703125e+00,3.000000000000000000e+00
-8.825804710388183594e+00,-8.912951469421386719e+00,4.000000000000000000e+00
9.224378585815429688e+00,9.150749206542968750e+00,3.000000000000000000e+00
3.485994100570678711e+00,3.476912021636962891e+00,4.000000000000000000e+00
2.371151447296142578e+00,2.435214281082153320e+00,3.000000000000000000e+00
-1.689097785949707031e+01,-1.690680503845214844e+01,4.000000000000000000e+00
1.423771858215332031e+01,1.427916717529296875e+01,4.000000000000000000e+00
1.151554298400878906e+01,1.152460098266601562e+01,3.000000000000000000e+00
-1.326937580108642578e+01,-1.334547805786132812e+01,4.000000000000000000e+00
-6.271544694900512695e-01,-5.848796963691711426e-01,3.000000000000000000e+00
1.571241140365600586e+00,1.722178936004638672e+00,4.000000000000000000e+00
1.314545989036560059e+00,1.250039458274841309e+00,4.000000000000000000e+00
-1.520390510559082031e+01,-1.516421699523925781e+01,4.000000000000000000e+00
-5.589431762695312500e+00,-5.561494827270507812e+00,4.000000000000000000e+00
-8.075431823730468750e+00,-8.125589370727539062e+00,3.000000000000000000e+00
9.189909934997558594e+00,9.163876533508300781e+00,4.000000000000000000e+00
1.819781303405761719e+01,1.805347824096679688e+01,3.000000000000000000e+00
-7.888831496238708496e-01,-8.544967770576477051e-01,3.000000000000000000e+00
-9.237004280090332031e+00,-9.211437225341796875e+00,3.000000000000000000e+00
5.196925640106201172e+00,5.118948936462402344e+00,3.000000000000000000e+00
1.409704589843750000e+01,1.414377880096435547e+01,4.000000000000000000e+00
-1.294511413574218750e+01,-1.278419685363769531e+01,4.000000000000000000e+00
-1.566150188446044922e+00,-1.427048444747924805e+00,3.000000000000000000e+00
-5.852833271026611328e+00,-5.799237251281738281e+00,3.000000000000000000e+00
1.795472621917724609e+00,1.856956362724304199e+00,3.000000000000000000e+00
4.625017940998077393e-01,3.767062425613403320e-01,3.000000000000000000e+00
1.302604198455810547e+01,1.302395915985107422e+01,3.000000000000000000e+00
-1.838212394714355469e+01,-1.828203773498535156e+01,4.000000000000000000e+00
1.615400910377502441e-01,1.688148826360702515e-01,3.000000000000000000e+00
1.887224078178405762e+00,1.877983212471008301e+00,4.000000000000000000e+00
1.099503040313720703e+01,1.100333404541015625e+01,4.000000000000000000e+00
1.843759155273437500e+01,1.845744323730468750e+01,4.000000000000000000e+00
1.738571763038635254e+00,1.708069324493408203e+00,3.000000000000000000e+00
-1.128224372863769531e+00,-1.180034399032592773e+00,4.000000000000000000e+00
-1.216124916076660156e+01,-1.220800495147705078e+01,4.000000000000000000e+00
4.532349586486816406e+00,4.506275177001953125e+00,4.000000000000000000e+00
6.367970943450927734e+00,6.424746036529541016e+00,3.000000000000000000e+00
1.525220632553100586e+00,1.609186172485351562e+00,4.000000000000000000e+00
2.201250791549682617e+00,2.118151187896728516e+00,3.000000000000000000e+00
