y_exp,y_pred,order
8.405497550964355469e+00,8.386899948120117188e+00,4.000000000000000000e+00
-1.010865879058837891e+01,-1.006629848480224609e+01,4.000000000000000000e+00
1.144272804260253906e+01,1.143493080139160156e+01,4.000000000000000000e+00
1.808760166168212891e+00,1.836363315582275391e+00,4.000000000000000000e+00
6.870171070098876953e+00,6.951036930084228516e+00,4.000000000000000000e+00
1.003834629058837891e+01,1.011274242401123047e+01,4.000000000000000000e+00
-1.839866280555725098e+00,-1.938683986663818359e+00,3.000000000000000000e+00
-3.346198081970214844e+00,-3.284947395324707031e+00,3.000000000000000000e+00
3.501999616622924805e+00,3.535015821456909180e+00,3.000000000000000000e+00
1.345758152008056641e+01,1.344307136535644531e+01,4.000000000000000000e+00
5.604301452636718750e+00,5.570734500885009766e+00,4.000000000000000000e+00
2.672703742980957031e+00,2.683144330978393555e+00,3.000000000000000000e+00
-1.396296596527099609e+01,-1.413909053802490234e+01,3.000000000000000000e+00
-9.687619209289550781e-01,-1.344879031181335449e+00,4.000000000000000000e+00
-4.413256168365478516e+00,-4.393585681915283203e+00,3.000000000000000000e+00
4.646569252014160156e+00,4.520802497863769531e+00,3.000000000000000000e+00
-1.120707130432128906e+01,-1.105166339874267578e+01,4.000000000000000000e+00
-1.441583538055419922e+01,-1.433706855773925781e+01,4.000000000000000000e+00
2.972495794296264648e+00,2.922572135925292969e+00,4.000000000000000000e+00
1.492007613182067871e+00,1.446898221969604492e+00,4.000000000000000000e+00
-9.896972656250000000e+00,-9.892177581787109375e+00,3.000000000000000000e+00
2.452075242996215820e+00,2.517518758773803711e+00,4.000000000000000000e+00
-1.146728610992431641e+01,-1.150447559356689453e+01,4.000000000000000000e+00
3.895679473876953125e+00,3.872022867202758789e+00,3.000000000000000000e+00
1.094901371002197266e+01,1.101059150695800781e+01,4.000000000000000000e+00
-2.544307708740234375e+00,-2.623823642730712891e+00,3.000000000000000000e+00
5.538250803947448730e-01,4.785097837448120117e-01,3.000000000000000000e+00
-1.053512001037597656e+01,-1.043908691406250000e+01,4.000000000000000000e+00
-9.737181663513183594e+00,-9.744222640991210938e+00,3.000000000000000000e+00
1.265303230285644531e+01,1.261177444458007812e+01,4.000000000000000000e+00
-1.680009269714355469e+01,-1.681068038940429688e+01,3.000000000000000000e+00
1.196144294738769531e+01,1.193487071990966797e+01,4.000000000000000000e+00
-1.661593055725097656e+01,-1.666721153259277344e+01,4.000000000000000000e+00
-8.021348953247070312e+00,-8.060250282287597656e+00,4.000000000000000000e+00
-1.767095947265625000e+01,-1.758229637145996094e+01,3.000000000000000000e+00
-1.123435592651367188e+01,-1.121234703063964844e+01,4.000000000000000000e+00
-2.883253335952758789e+00,-2.853783369064331055e+00,3.000000000000000000e+00
-1.132395267486572266e+01,-1.110394954681396484e+01,4.000000000000000000e+00
1.034148788452148438e+01,1.050461387634277344e+01,3.000000000000000000e+00
1.095623970031738281e+00,1.131205439567565918e+00,3.000000000000000000e+00
2.607931137084960938e+00,2.606967449188232422e+00,3.000000000000000000e+00
-8.825804710388183594e+00,-8.883086204528808594e+00,4.000000000000000000e+00
9.224378585815429688e+00,9.155605316162109375e+00,3.000000000000000000e+00
3.485994100570678711e+00,3.631488800048828125e+00,4.000000000000000000e+00
2.371151447296142578e+00,2.445559263229370117e+00,3.000000000000000000e+00
-1.689097785949707031e+01,-1.685755348205566406e+01,4.000000000000000000e+00
1.423771858215332031e+01,1.423275756835937500e+01,4.000000000000000000e+00
1.151554298400878906e+01,1.148064804077148438e+01,3.000000000000000000e+00
-1.326937580108642578e+01,-1.325901222229003906e+01,4.000000000000000000e+00
-6.271544694900512695e-01,-5.018754005432128906e-01,3.000000000000000000e+00
1.571241140365600586e+00,1.581061363220214844e+00,4.000000000000000000e+00
1.314545989036560059e+00,1.250275254249572754e+00,4.000000000000000000e+00
-1.520390510559082031e+01,-1.516337013244628906e+01,4.000000000000000000e+00
-5.589431762695312500e+00,-5.573403358459472656e+00,4.000000000000000000e+00
-8.075431823730468750e+00,-8.095554351806640625e+00,3.000000000000000000e+00
9.189909934997558594e+00,9.241044998168945312e+00,4.000000000000000000e+00
1.819781303405761719e+01,1.818283653259277344e+01,3.000000000000000000e+00
-7.888831496238708496e-01,-7.936066389083862305e-01,3.000000000000000000e+00
-9.237004280090332031e+00,-9.192340850830078125e+00,3.000000000000000000e+00
5.196925640106201172e+00,5.192559719085693359e+00,3.000000000000000000e+00
1.409704589843750000e+01,1.430643463134765625e+01,4.000000000000000000e+00
-1.294511413574218750e+01,-1.290009975433349609e+01,4.000000000000000000e+00
-1.566150188446044922e+00,-1.446335077285766602e+00,3.000000000000000000e+00
-5.852833271026611328e+00,-5.857096195220947266e+00,3.000000000000000000e+00
1.795472621917724609e+00,1.728641986846923828e+00,3.000000000000000000e+00
4.625017940998077393e-01,5.052671432495117188e-01,3.000000000000000000e+00
1.302604198455810547e+01,1.281432342529296875e+01,3.000000000000000000e+00
-1.838212394714355469e+01,-1.816339874267578125e+01,4.000000000000000000e+00
1.615400910377502441e-01,1.527299135923385620e-01,3.000000000000000000e+00
1.887224078178405762e+00,2.055301189422607422e+00,4.000000000000000000e+00
1.099503040313720703e+01,1.098225593566894531e+01,4.000000000000000000e+00
1.843759155273437500e+01,1.851112937927246094e+01,4.000000000000000000e+00
1.738571763038635254e+00,1.638109207153320312e+00,3.000000000000000000e+00
-1.128224372863769531e+00,-1.048005700111389160e+00,4.000000000000000000e+00
-1.216124916076660156e+01,-1.217767143249511719e+01,4.000000000000000000e+00
4.532349586486816406e+00,4.498173713684082031e+00,4.000000000000000000e+00
6.367970943450927734e+00,6.335755348205566406e+00,3.000000000000000000e+00
1.525220632553100586e+00,1.377289295196533203e+00,4.000000000000000000e+00
2.201250791549682617e+00,2.281373023986816406e+00,3.000000000000000000e+00
-1.647038269042968750e+01,-1.635143280029296875e+01,4.000000000000000000e+00
4.219619750976562500e+00,4.287468910217285156e+00,3.000000000000000000e+00
3.098682880401611328e+00,3.211157321929931641e+00,3.000000000000000000e+00
-1.611783951520919800e-01,-1.793888807296752930e-01,3.000000000000000000e+00
6.231647968292236328e+00,6.189975261688232422e+00,4.000000000000000000e+00
-4.236721515655517578e+00,-4.216962337493896484e+00,4.000000000000000000e+00
1.027267694473266602e+00,1.049295186996459961e+00,4.000000000000000000e+00
1.469769477844238281e+00,1.396055698394775391e+00,3.000000000000000000e+00
-4.164854526519775391e+00,-4.238928794860839844e+00,4.000000000000000000e+00
1.345729255676269531e+01,1.347046947479248047e+01,3.000000000000000000e+00
-1.512742614746093750e+01,-1.503979587554931641e+01,4.000000000000000000e+00
-2.965917587280273438e+00,-3.004489421844482422e+00,3.000000000000000000e+00
7.347908020019531250e+00,7.351036071777343750e+00,4.000000000000000000e+00
2.296881437301635742e+00,2.288491010665893555e+00,4.000000000000000000e+00
-2.594749212265014648e+00,-2.631525516510009766e+00,3.000000000000000000e+00
1.131028747558593750e+01,1.135939216613769531e+01,4.000000000000000000e+00
-1.133632755279541016e+01,-1.139073848724365234e+01,3.000000000000000000e+00
2.993557214736938477e+00,3.005212783813476562e+00,3.000000000000000000e+00
3.754641294479370117e+00,3.725022792816162109e+00,3.000000000000000000e+00
-1.004415154457092285e+00,-1.045742034912109375e+00,4.000000000000000000e+00
-8.697817325592041016e-01,-8.179216384887695312e-01,3.000000000000000000e+00
1.399071931838989258e+00,1.461189746856689453e+00,3.000000000000000000e+00
-1.808998298645019531e+01,-1.812369537353515625e+01,3.000000000000000000e+00
-1.301066970825195312e+01,-1.303163814544677734e+01,4.000000000000000000e+00
-9.008282661437988281e+00,-9.212361335754394531e+00,4.000000000000000000e+00
6.424650669097900391e+00,6.468824386596679688e+00,4.000000000000000000e+00
2.267331600189208984e+00,2.429020404815673828e+00,3.000000000000000000e+00
3.096333980560302734e+00,3.052960395812988281e+00,3.000000000000000000e+00
7.340217828750610352e-01,7.613265514373779297e-01,3.000000000000000000e+00
-4.842983722686767578e+00,-4.781465530395507812e+00,4.000000000000000000e+00
1.098552417755126953e+01,1.091043758392333984e+01,4.000000000000000000e+00
4.321859836578369141e+00,4.274537086486816406e+00,4.000000000000000000e+00
-1.013679504394531250e+01,-1.011888599395751953e+01,4.000000000000000000e+00
3.059422492980957031e+00,3.109177827835083008e+00,3.000000000000000000e+00
-4.667737483978271484e+00,-4.664602756500244141e+00,3.000000000000000000e+00
3.608794450759887695e+00,3.764604568481445312e+00,3.000000000000000000e+00
-2.802612304687500000e+01,-2.789096641540527344e+01,3.000000000000000000e+00
-1.956850737333297729e-01,-1.520816385746002197e-01,3.000000000000000000e+00
1.554336994886398315e-01,1.968946605920791626e-01,3.000000000000000000e+00
1.738345742225646973e+00,1.775639176368713379e+00,4.000000000000000000e+00
1.276921272277832031e+01,1.269809913635253906e+01,4.000000000000000000e+00
3.489969253540039062e+00,3.586656093597412109e+00,4.000000000000000000e+00
-2.307134628295898438e+00,-2.311308860778808594e+00,3.000000000000000000e+00
2.368570327758789062e+00,2.361735820770263672e+00,3.000000000000000000e+00
1.953041458129882812e+01,1.984679794311523438e+01,4.000000000000000000e+00
-1.160778999328613281e+01,-1.159819793701171875e+01,4.000000000000000000e+00
2.122617721557617188e+00,2.246267795562744141e+00,3.000000000000000000e+00
-2.266933679580688477e+00,-2.391855478286743164e+00,4.000000000000000000e+00
3.584693670272827148e-01,3.959195911884307861e-01,3.000000000000000000e+00
-3.725538253784179688e+00,-3.718400955200195312e+00,3.000000000000000000e+00
2.717316627502441406e+00,2.638731479644775391e+00,3.000000000000000000e+00
-1.758515715599060059e+00,-1.788821697235107422e+00,3.000000000000000000e+00
1.265963554382324219e+01,1.244054889678955078e+01,3.000000000000000000e+00
1.043525815010070801e+00,1.114659547805786133e+00,3.000000000000000000e+00
-5.689538955688476562e+00,-5.671029090881347656e+00,4.000000000000000000e+00
-1.120633316040039062e+01,-1.126093673706054688e+01,4.000000000000000000e+00
-3.872214508056640625e+01,-3.879315185546875000e+01,4.000000000000000000e+00
1.213929367065429688e+01,1.213633537292480469e+01,4.000000000000000000e+00
4.992647647857666016e+00,4.998352527618408203e+00,3.000000000000000000e+00
7.682298660278320312e+00,7.926458358764648438e+00,4.000000000000000000e+00
-6.597381114959716797e+00,-6.556066513061523438e+00,4.000000000000000000e+00
-1.133730792999267578e+01,-1.133276653289794922e+01,3.000000000000000000e+00
-1.223371410369873047e+01,-1.224735641479492188e+01,4.000000000000000000e+00
7.853320121765136719e+00,7.875524997711181641e+00,3.000000000000000000e+00
-3.478929519653320312e+00,-3.569916725158691406e+00,3.000000000000000000e+00
1.016755580902099609e+00,1.080700874328613281e+00,3.000000000000000000e+00
-1.131470441818237305e+00,-1.104976654052734375e+00,4.000000000000000000e+00
-8.309929847717285156e+00,-8.252977371215820312e+00,4.000000000000000000e+00
-5.975569725036621094e+00,-5.899997711181640625e+00,4.000000000000000000e+00
1.870562434196472168e+00,1.931888103485107422e+00,3.000000000000000000e+00
2.565939903259277344e+00,2.494365215301513672e+00,3.000000000000000000e+00
-1.498560237884521484e+01,-1.507546997070312500e+01,4.000000000000000000e+00
1.480242609977722168e+00,1.486949801445007324e+00,3.000000000000000000e+00
5.027260780334472656e+00,5.036476135253906250e+00,4.000000000000000000e+00
-9.524923563003540039e-01,-1.039059996604919434e+00,4.000000000000000000e+00
-2.628200769424438477e+00,-2.964517354965209961e+00,3.000000000000000000e+00
1.477983117103576660e+00,1.434966087341308594e+00,3.000000000000000000e+00
-2.087281417846679688e+01,-2.066957092285156250e+01,4.000000000000000000e+00
-2.726230025291442871e-01,-2.077887952327728271e-01,3.000000000000000000e+00
1.186816120147705078e+01,1.190039443969726562e+01,4.000000000000000000e+00
